,rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
0,1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,0,U,M,3/5/1949 0:00,Arnault,Bernard,4/4/2023 5:01,1949.0,3.0,5.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1,2,180000,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,1,D,M,6/28/1971 0:00,Musk,Elon,4/4/2023 5:01,1971.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2,3,114000,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,1,D,M,1/12/1964 0:00,Bezos,Jeff,4/4/2023 5:01,1964.0,1.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,4,107000,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,1,U,M,8/17/1944 0:00,Ellison,Larry,4/4/2023 5:01,1944.0,8.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,5,106000,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,1,D,M,8/30/1930 0:00,Buffett,Warren,4/4/2023 5:01,1930.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,6,104000,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,1,D,M,10/28/1955 0:00,Gates,Bill,4/4/2023 5:01,1955.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,1,U,M,2/14/1942 0:00,Bloomberg,Michael,4/4/2023 5:01,1942.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,1,U,M,1/28/1940 0:00,Slim Helu,Carlos,4/4/2023 5:01,1940.0,1.0,28.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
8,9,83400,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,0,D,M,4/19/1957 0:00,Ambani,Mukesh,4/4/2023 5:01,1957.0,4.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
9,10,80700,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,1,D,M,3/24/1956 0:00,Ballmer,Steve,4/4/2023 5:01,1956.0,3.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
10,11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,0,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,4/4/2023 5:01,1953.0,7.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
11,12,79200,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,1,D,M,3/26/1973 0:00,Page,Larry,4/4/2023 5:01,1973.0,3.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
12,13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,1,U,M,3/28/1936 0:00,Ortega,Amancio,4/4/2023 5:01,1936.0,3.0,28.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
13,14,76000,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,1,D,M,8/21/1973 0:00,Brin,Sergey,4/4/2023 5:01,1973.0,8.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
14,15,68000,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,1,U,M,12/1/1954 0:00,Zhong,Shanshan,4/4/2023 5:01,1954.0,12.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
15,16,64400,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,1,D,M,5/14/1984 0:00,Zuckerberg,Mark,4/4/2023 5:01,1984.0,5.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
16,17,59000,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,0,D,M,11/1/1935 0:00,Koch,Charles,4/4/2023 5:01,1935.0,11.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
17,17,59000,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,0,D,F,4/12/1962 0:00,Koch,Julia,4/4/2023 5:01,1962.0,4.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
18,19,58800,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,0,D,M,6/7/1948 0:00,Walton,Jim,4/4/2023 5:01,1948.0,6.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
19,20,57600,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,0,D,M,10/27/1944 0:00,Walton,Rob,4/4/2023 5:01,1944.0,10.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,21,56700,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,0,D,F,10/7/1949 0:00,Walton,Alice,4/4/2023 5:01,1949.0,10.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,22,54400,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,0,U,M,6/12/1957 0:00,Thomson,David,4/4/2023 5:01,1957.0,6.0,12.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
22,23,50100,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,1,D,M,2/23/1965 0:00,Dell,Michael,4/4/2023 5:01,1965.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
23,24,47200,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,1,D,M,6/24/1962 0:00,Adani,Gautam,4/4/2023 5:01,1962.0,6.0,24.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
24,25,45100,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,1,D,M,2/24/1938 0:00,Knight,Phil,4/4/2023 5:01,1938.0,2.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
25,26,45000,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,1,D,M,1/1/1984 0:00,Zhang,Yiming,4/4/2023 5:01,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
26,27,42900,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,0,D,M,9/24/1939 0:00,Schwarz,Dieter,4/4/2023 5:01,1939.0,9.0,24.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
27,28,40100,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,1,D,M,8/21/1936 0:00,Pinault,François,4/4/2023 5:01,1936.0,8.0,21.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
28,29,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,0,U,M,6/2/1937 0:00,Kuehne,Klaus-Michael,4/4/2023 5:01,1937.0,6.0,2.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
29,30,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,0,U,M,9/21/1964 0:00,Ferrero,Giovanni,4/4/2023 5:01,1964.0,9.0,21.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
30,31,38300,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,0,U,F,10/10/1939 0:00,Mars,Jacqueline,4/4/2023 5:01,1939.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,0,U,M,10/15/1935 0:00,Mars,John,4/4/2023 5:01,1935.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
33,34,35300,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,1,D,M,10/29/1971 0:00,Ma,Huateng,4/4/2023 5:01,1971.0,10.0,29.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
34,35,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,0,U,F,10/10/1945 0:00,Adelson,Miriam,4/4/2023 5:01,1945.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,1,U,M,10/15/1968 0:00,Griffin,Ken,4/4/2023 5:01,1968.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
36,37,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,0,N,M,5/7/1992 0:00,Mateschitz,Mark,4/4/2023 5:01,1992.0,5.0,7.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
37,38,33400,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,1,D,M,1/1/1969 0:00,Zeng,Robin,4/4/2023 5:01,1969.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
38,39,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,1,U,M,2/7/1949 0:00,Yanai,Tadashi,4/4/2023 5:01,1949.0,2.0,7.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
39,40,32100,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,1,D,M,6/1/1957 0:00,Blavatnik,Len,4/4/2023 5:01,1957.0,6.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
40,41,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,0,U,M,8/28/1948 0:00,Wertheimer,Alain,4/4/2023 5:01,1948.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,0,U,M,1/9/1951 0:00,Wertheimer,Gerard,4/4/2023 5:01,1951.0,1.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
42,43,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,1,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,4/4/2023 5:01,1940.0,6.0,27.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
43,43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,1,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,4/4/2023 5:01,1945.0,3.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
